insName,n,m,T,R,006nc_SW-CP(7),006nc_SW-CP(8),Best_VR2010,delta_006nc_SW-CP(7),delta_006nc_SW-CP(8)
416,350,50,0.6,0.2,2036495,2045185,1945815,90680,99370
417,350,50,0.6,0.2,1990095,2021983,1935135,54960,86848
418,350,50,0.6,0.2,1961728,1990082,1897063,64665,93019
419,350,50,0.6,0.2,2000514,2019975,1936200,64314,83775
420,350,50,0.6,0.2,1902655,1932992,1835320,67335,97672
476,350,50,0.6,0.6,1949213,1970143,1884667,64546,85476
477,350,50,0.6,0.6,1939652,1952205,1857069,82583,95136
478,350,50,0.6,0.6,1886362,1933338,1841663,44699,91675
479,350,50,0.6,0.6,1907190,1944000,1838435,68755,105565
480,350,50,0.6,0.6,1871750,1899227,1828421,43329,70806
