insName,n,m,T,R,006nc_SW-CP(7),006nc_SW-CP(8),006nc_ISW-CP(5~7),006nc_ISW-CP(3~8),Best_VR2010,delta_006nc_SW-CP(7),delta_006nc_SW-CP(8),delta_006nc_ISW-CP(5~7),delta_006nc_ISW-CP(3~8)
416,350,50,0.6,0.2,2036495,2045185,2017102,2023321,1945815,90680,99370,71287,77506
417,350,50,0.6,0.2,1990095,2021983,1996919,2020395,1935135,54960,86848,61784,85260
418,350,50,0.6,0.2,1961728,1990082,1956610,1975042,1897063,64665,93019,59547,77979
419,350,50,0.6,0.2,2000514,2019975,2029697,2007005,1936200,64314,83775,93497,70805
420,350,50,0.6,0.2,1902655,1932992,1913973,1908064,1835320,67335,97672,78653,72744
476,350,50,0.6,0.6,1949213,1970143,1948721,1912345,1884667,64546,85476,64054,27678
477,350,50,0.6,0.6,1939652,1952205,1903788,1924816,1857069,82583,95136,46719,67747
478,350,50,0.6,0.6,1886362,1933338,1886674,1893632,1841663,44699,91675,45011,51969
479,350,50,0.6,0.6,1907190,1944000,1896974,1914529,1838435,68755,105565,58539,76094
480,350,50,0.6,0.6,1871750,1899227,1871111,1860025,1828421,43329,70806,42690,31604
