insName,n,m,T,R,NEH-MS(EDD),LBinit_start,LBinit_completion,LBinit_average,best_LBinit,best_seq,improve_vs_NEHMS,improve_pct,MCF_LB,Best_VR2010,delta_best_VR2010
416,350,50,0.6,0.2,2083008,2100166,2056623,2074788,2056623,completion time,26385,1.267,745758,1945815,110808
417,350,50,0.6,0.2,2073735,2074616,2078926,2081547,2074616,start time,-881,-0.042,678694,1935135,139481
418,350,50,0.6,0.2,2032458,2018754,2051904,2052993,2018754,start time,13704,0.674,718977,1897063,121691
419,350,50,0.6,0.2,2068657,2093827,2082901,2075456,2075456,average time,-6799,-0.329,649504,1936200,139256
420,350,50,0.6,0.2,1985440,1978736,1985754,1972423,1972423,average time,13017,0.656,613860,1835320,137103
476,350,50,0.6,0.6,2031355,2042861,2037901,2059587,2037901,completion time,-6546,-0.322,500161,1884667,153234
477,350,50,0.6,0.6,2016270,2008974,2002183,1999386,1999386,average time,16884,0.837,484083,1857069,142317
478,350,50,0.6,0.6,2005921,2007652,2006426,1962728,1962728,average time,43193,2.153,473109,1841663,121065
479,350,50,0.6,0.6,2016615,2003002,1979995,2009503,1979995,completion time,36620,1.816,455394,1838435,141560
480,350,50,0.6,0.6,1966006,1981801,1974438,1973845,1973845,average time,-7839,-0.399,469948,1828421,145424
