Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Tardinessflowshop,CPLEX_CP,Eva,1,50,10,440,2084,0.788867562,3600.42,1635,21.54510557
Tardinessflowshop,CPLEX_CP,Eva,2,50,10,428,2411,0.822480299,3600.483,1539,36.16756533
Tardinessflowshop,CPLEX_CP,Eva,3,50,10,439,3033,0.85525882,3600.651,2147,29.21200132
Tardinessflowshop,CPLEX_CP,Eva,4,50,10,502,2750,0.817454545,3600.508,2017,26.65454545
Tardinessflowshop,CPLEX_CP,Eva,5,50,10,341,3483,0.902095894,3600.457,2506,28.05053115
Tardinessflowshop,CPLEX_CP,Eva,6,50,30,642,23300,0.972446352,3600.232,17875,23.2832618
Tardinessflowshop,CPLEX_CP,Eva,7,50,30,641,24100,0.97340249,3600.258,18295,24.08713693
Tardinessflowshop,CPLEX_CP,Eva,8,50,30,553,23118,0.976079246,3600.187,17604,23.85154425
Tardinessflowshop,CPLEX_CP,Eva,9,50,30,702,24899,0.971806097,3600.282,17766,28.64773686
Tardinessflowshop,CPLEX_CP,Eva,10,50,30,637,23189,0.972530079,3600.214,17453,24.73586614
Tardinessflowshop,CPLEX_CP,Eva,11,50,50,797,43461,0.98166172,3600.347,32665,24.84066174
Tardinessflowshop,CPLEX_CP,Eva,12,50,50,800,41549,0.980745626,3600.288,34770,16.31567547
Tardinessflowshop,CPLEX_CP,Eva,13,50,50,882,44392,0.980131555,3600.36,34486,22.3148315
Tardinessflowshop,CPLEX_CP,Eva,14,50,50,1001,46100,0.978286334,3600.291,38157,17.22993492
Tardinessflowshop,CPLEX_CP,Eva,15,50,50,744,36696,0.979725311,3600.325,28851,21.37835186
Tardinessflowshop,CPLEX_CP,Eva,16,150,10,1007,15556,0.935266135,3600.169,10549,32.18693752
Tardinessflowshop,CPLEX_CP,Eva,17,150,10,1105,14868,0.925679311,3600.24,10401,30.04439064
Tardinessflowshop,CPLEX_CP,Eva,18,150,10,996,14813,0.932761763,3600.22,10050,32.15418889
Tardinessflowshop,CPLEX_CP,Eva,19,150,10,965,19118,0.949524009,3600.184,11291,40.94047495
Tardinessflowshop,CPLEX_CP,Eva,20,150,10,1024,18817,0.945581123,3600.267,10109,46.27730244
Tardinessflowshop,CPLEX_CP,Eva,21,150,30,1147,82540,0.986103707,3600.511,42832,48.1075842
Tardinessflowshop,CPLEX_CP,Eva,22,150,30,1267,85021,0.985097799,3600.428,42283,50.26758095
Tardinessflowshop,CPLEX_CP,Eva,23,150,30,1142,83102,0.986257852,3600.563,42785,48.51507786
Tardinessflowshop,CPLEX_CP,Eva,24,150,30,1476,86210,0.982879016,3600.57,44754,48.08722886
Tardinessflowshop,CPLEX_CP,Eva,25,150,30,1100,79124,0.986097771,3600.57,40617,48.66664982
Tardinessflowshop,CPLEX_CP,Eva,26,150,50,1369,160530,0.991471999,3600.724,97013,39.56705912
Tardinessflowshop,CPLEX_CP,Eva,27,150,50,1198,142120,0.991570504,3600.96,78971,44.43357726
Tardinessflowshop,CPLEX_CP,Eva,28,150,50,1492,175444,0.991495862,3600.879,105813,39.6884476
Tardinessflowshop,CPLEX_CP,Eva,29,150,50,1288,143800,0.991043115,3600.719,89558,37.72044506
Tardinessflowshop,CPLEX_CP,Eva,30,150,50,1434,151696,0.990546883,3600.985,87155,42.54627676
Tardinessflowshop,CPLEX_CP,Eva,31,250,10,1561,37610,0.958495081,3600.41,24446,35.00132943
Tardinessflowshop,CPLEX_CP,Eva,32,250,10,1459,36881,0.960440335,3600.314,24421,33.7843334
Tardinessflowshop,CPLEX_CP,Eva,33,250,10,1454,32888,0.955789346,3600.398,19327,41.2338847
Tardinessflowshop,CPLEX_CP,Eva,34,250,10,1542,26527,0.941870547,3600.28,20248,23.67022279
Tardinessflowshop,CPLEX_CP,Eva,35,250,10,1570,34366,0.954315312,3600.424,21958,36.10545306
Tardinessflowshop,CPLEX_CP,Eva,36,250,30,1705,155400,0.989028314,3600.934,74988,51.74517375
Tardinessflowshop,CPLEX_CP,Eva,37,250,30,1895,151140,0.987461956,3600.625,67167,55.55974593
Tardinessflowshop,CPLEX_CP,Eva,38,250,30,1809,190227,0.990490309,3601.06,74055,61.07019508
Tardinessflowshop,CPLEX_CP,Eva,39,250,30,1677,178605,0.990610565,3600.739,81432,54.40665155
Tardinessflowshop,CPLEX_CP,Eva,40,250,30,1627,156464,0.989601442,3600.745,75525,51.73011044
Tardinessflowshop,CPLEX_CP,Eva,41,250,50,2026,346339,0.99415024,3601.546,166015,52.06575061
Tardinessflowshop,CPLEX_CP,Eva,42,250,50,1992,336612,0.994082207,3601.176,169983,49.50180029
Tardinessflowshop,CPLEX_CP,Eva,43,250,50,1844,332916,0.994461065,3601.794,158627,52.35224501
Tardinessflowshop,CPLEX_CP,Eva,44,250,50,1911,284477,0.993282409,3600.804,131249,53.86305396
Tardinessflowshop,CPLEX_CP,Eva,45,250,50,2150,355657,0.99395485,3601.365,162008,54.44824648
Tardinessflowshop,CPLEX_CP,Eva,46,350,10,2116,79471,0.973373935,3600.532,44820,43.60206868
Tardinessflowshop,CPLEX_CP,Eva,47,350,10,1970,44259,0.955489279,3600.798,27368,38.16398925
Tardinessflowshop,CPLEX_CP,Eva,48,350,10,2000,86503,0.976879415,3600.578,44754,48.26306602
Tardinessflowshop,CPLEX_CP,Eva,49,350,10,2022,61700,0.967228525,3600.491,36430,40.95623987
Tardinessflowshop,CPLEX_CP,Eva,50,350,10,2055,78778,0.973914037,3600.534,50427,35.98847394
Tardinessflowshop,CPLEX_CP,Eva,51,350,30,2318,331535,0.99300828,3601.092,122496,63.05186481
Tardinessflowshop,CPLEX_CP,Eva,52,350,30,2262,347362,0.993488061,3601.117,132353,61.89767447
Tardinessflowshop,CPLEX_CP,Eva,53,350,30,2258,319191,0.992925866,3600.943,120304,62.30971425
Tardinessflowshop,CPLEX_CP,Eva,54,350,30,2165,263701,0.991789944,3601.222,92815,64.80293969
Tardinessflowshop,CPLEX_CP,Eva,55,350,30,2229,315718,0.992939902,3601.083,112596,64.33652817
Tardinessflowshop,CPLEX_CP,Eva,56,350,50,2278,546322,0.995830298,3601.671,233031,57.3454849
Tardinessflowshop,CPLEX_CP,Eva,57,350,50,2361,542997,0.99565191,3601.751,235160,56.69221009
Tardinessflowshop,CPLEX_CP,Eva,58,350,50,2444,499201,0.995104176,3601.542,191200,61.69879467
Tardinessflowshop,CPLEX_CP,Eva,59,350,50,2488,580978,0.995717566,3601.417,260345,55.18849251
Tardinessflowshop,CPLEX_CP,Eva,60,350,50,2198,526186,0.99582277,3601.69,206138,60.82411923
Tardinessflowshop,CPLEX_CP,Eva,61,50,10,0,0,0,8.587,0,0
Tardinessflowshop,CPLEX_CP,Eva,62,50,10,0,0,0,11.778,0,0
Tardinessflowshop,CPLEX_CP,Eva,63,50,10,0,0,0,97.362,0,0
Tardinessflowshop,CPLEX_CP,Eva,64,50,10,0,0,0,11.105,0,0
Tardinessflowshop,CPLEX_CP,Eva,65,50,10,0,0,0,11.51,0,0
Tardinessflowshop,CPLEX_CP,Eva,66,50,30,87,16491,0.994724395,3600.202,11523,30.12552301
Tardinessflowshop,CPLEX_CP,Eva,67,50,30,4,14909,0.999731706,3600.214,10161,31.84653565
Tardinessflowshop,CPLEX_CP,Eva,68,50,30,159,20806,0.992357974,3600.244,15344,26.25204268
Tardinessflowshop,CPLEX_CP,Eva,69,50,30,96,23885,0.995980741,3600.231,18453,22.74230689
Tardinessflowshop,CPLEX_CP,Eva,70,50,30,215,25997,0.991729815,3600.232,21060,18.99065277
Tardinessflowshop,CPLEX_CP,Eva,71,50,50,1270,47276,0.973136475,3600.388,36635,22.50824943
